data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno,log_retorno_tratado,volume_norm,log_retorno_z,fechamento_z,tendencia_z
2020-08-18,42.790000915527344,42.9900016784668,42.11000061035156,42.88999938964844,111628,42.88999938964844,2020,8,terça,3,40.00210584676367,-1.4140824509186984,4.301975993803467,0,0,0,0,0.030841613388130226,-0.010924274547570589,-1.135671436651342,-1.4882372791581517
2020-08-19,42.599998474121094,43.029998779296875,42.36000061035156,42.93000030517578,81299,42.93000030517578,2020,8,quarta,3,40.096369398056595,-1.2591113019151954,4.092742209034384,0.04000091552734375,9.326396851616624e-4,9.32205046990039e-4,9.32205046990039e-4,0.013163961113711329,0.02721910169421049,-1.1333344200920823,-1.481952500763359
2020-08-20,42.7400016784668,42.790000915527344,41.5,42.58000183105469,377070,42.58000183105469,2020,8,quinta,3,40.19063294934952,-1.201412505650505,3.590781387355669,-0.34999847412109375,-0.0081527712935725,-0.00818618687712677,-0.00818618687712677,0.18555793687477012,-0.3458814892161518,-1.1537827578101894,-1.4756677223685661
2020-08-21,42.75,42.959999084472656,41.459999084472656,42.34000015258789,345368,42.34000015258789,2020,8,sexta,3,40.284896500642446,-0.4639715006839468,2.519075152629391,-0.24000167846679688,-0.00563648821385809,-0.005652433157436,-0.005652433157436,0.1670800136856235,-0.24220695779601661,-1.167804634295581,-1.4693829439737733
2020-08-24,42.47999954223633,42.88999938964844,42.22999954223633,42.619998931884766,294731,42.619998931884766,2020,8,segunda,3,40.37916005193537,-0.2601650282990595,2.5010039082484496,0.279998779296875,0.0066131029354699,0.00659133229851918,0.00659133229851918,0.13756557937457634,0.2587756896489408,-1.1514459641210955,-1.4630981655789808
2020-08-25,42.36000061035156,43.56999969482422,42.310001373291016,43.349998474121094,330800,43.349998474121094,2020,8,terça,3,40.4734236032283,-0.291814502402991,3.1683893732957884,0.7299995422363281,0.01712809855774555,0.01698306641838919,0.01698306641838919,0.15858886533474698,0.683978090792979,-1.1087964148303542,-1.456813387184188
2020-08-26,43.38999938964844,43.779998779296875,43,43.38999938964844,262243,43.38999938964844,2020,8,quarta,3,40.567687154521224,-0.2507343456031534,3.07304658073037,0.04000091552734375,9.227431818994436e-4,9.223177161198882e-4,9.223177161198882e-4,0.11862952585842607,0.026814538146067452,-1.1064593982710944,-1.4505286087893952
2020-08-27,43.45000076293945,43.5,42.36000061035156,43.040000915527344,320968,43.040000915527344,2020,8,quinta,3,40.66195070581415,0.1836250344439561,2.194425175269238,-0.34999847412109375,-0.00806633968758696,-0.00809904861854321,-0.00809904861854321,0.15285815620612134,-0.34231602108986536,-1.1269077359892015,-1.4442438303946024
2020-08-28,42.97999954223633,43.41999816894531,42.689998626708984,42.970001220703125,272800,42.970001220703125,2020,8,sexta,3,40.756214257107075,-0.6238334066648262,2.837620370260879,-0.06999969482421875,-0.0016263869269335,-0.00162771092990704,-0.00162771092990704,0.12478281067035658,-0.07752592041161298,-1.1309974035328227,-1.4379590519998096
2020-08-31,42.90999984741211,43.56999969482422,42.560001373291016,42.61000061035156,236877,42.61000061035156,2020,8,segunda,3,40.8504778084,-0.9776542911773778,2.737177093128942,-0.3600006103515625,-0.00837795206247549,-0.0084132443592083,-0.0084132443592083,0.10384462270985836,-0.3551720835929057,-1.1520301068258274,-1.4316742736050168
