data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno
2021-03-25,60.79999923706055,60.86000061035156,57.439998626708984,58.560001373291016,580105,58.560001373291016,2021,3,quinta,1,59.30510308697648,-0.43463024730555777,-0.31047146637990863,-2.6199989318847656,-0.042824434763252484,-0.04376845060685628
2021-03-26,58.47999954223633,61.36000061035156,58.31999969482422,60.970001220703125,471996,60.970001220703125,2021,3,sexta,1,59.43962551713611,0.3895954966826529,1.140780206884365,2.4099998474121094,0.041154368013920584,0.04033006683703419
2021-03-29,60.93000030517578,61.77000045776367,59.40999984741211,61.560001373291016,449360,61.560001373291016,2021,3,segunda,1,59.574147947295735,-0.5816357323183055,2.5674891583135846,0.5900001525878906,0.009676892582832108,0.009630371337751558
2021-03-30,61.959999084472656,62.27000045776367,59.939998626708984,60.54999923706055,388188,60.54999923706055,2021,3,terça,1,59.70867037745536,-0.47650244410734977,1.3178313037125309,-1.0100021362304688,-0.01640679197042183,-0.0165428738799043
2021-03-31,60.45000076293945,61.16999816894531,58.849998474121094,59.15999984741211,414162,59.15999984741211,2021,3,quarta,1,59.84319280761499,-0.05372879635010472,-0.6294641638527736,-1.3899993896484375,-0.022956224726055297,-0.023223822135586915
2021-04-01,59.4900016784668,61.75,58.86000061035156,61.45000076293945,605567,61.45000076293945,2021,4,quinta,2,59.97771523777462,-0.8073191802978468,2.279604705462681,2.2900009155273438,0.0387086024583132,0.03797821316429917
2021-04-05,61.5,61.5,57.630001068115234,58.650001525878906,438864,58.650001525878906,2021,4,segunda,2,60.112237667934245,-0.720908718076379,-0.7413274239789587,-2.799999237060547,-0.04556548742549782,-0.046636247311482575
2021-04-06,58.79999923706055,60.900001525878906,58.619998931884766,59.33000183105469,457348,59.33000183105469,2021,4,terça,2,60.24676009809387,-0.3535893244695241,-0.5631689425696607,0.68000030517578125,0.011594207800246004,0.011527510016582785
2021-04-07,59.2599983215332,60.040000915527344,58.119998931884766,59.77000045776367,475537,59.77000045776367,2021,4,quarta,2,60.3812825282535,-0.2256866533555532,-0.3855954171342759,0.4399986267089844,0.007416123599016666,0.007388759362158414
2021-04-08,59.52000045776367,59.93000030517578,58.81999969482422,59.599998474121094,419913,59.599998474121094,2021,4,quinta,2,60.51580495841313,-1.378692913626969,0.4628864293349366,-0.17000198364257812,-0.0028442694050623274,-0.0028483220256071977
2021-04-09,59.7599983215332,59.95000076293945,59.099998474121094,59.31999969482422,351436,59.31999969482422,2021,4,sexta,2,60.650327388572755,-0.6789730178370369,-0.6513546759114988,-0.279998779296875,-0.004697966215862492,-0.0047090363441455035
2021-04-12,59.349998474121094,60.77000045776367,58.72999954223633,59.70000076293945,410218,59.70000076293945,2021,4,segunda,2,60.78484981873238,0.19802244890903767,-1.2828715047019656,0.3800010681152344,0.0064059519566785905,0.006385521052948414
2021-04-13,59.63999938964844,60.59000015258789,59.63999938964844,60.18000030517578,349733,60.18000030517578,2021,4,terça,2,60.91937224889201,-0.5575030690165664,-0.18186887469965995,0.4799995422363281,0.008040193234541748,0.008008043094837287
2021-04-14,60.439998626708984,63.439998626708984,60.380001068115234,63.150001525878906,419813,63.150001525878906,2021,4,quarta,2,61.05389467905164,0.5469708096420782,1.5491360371851923,2.970001220703125,0.04935196420143062,0.0481727966863204
2021-04-15,62.83000183105469,63.56999969482422,62.529998779296875,63.459999084472656,243370,63.459999084472656,2021,4,quinta,2,61.188417109211265,0.7833803623380491,1.4882016129233406,0.30999755859375,0.004908908172657878,0.004896898768938579
2021-04-16,63.31999969482422,63.880001068115234,62.83000183105469,63.130001068115234,87795,63.130001068115234,2021,4,sexta,2,61.32293953937089,1.0079714627191203,0.7990900660252223,-0.3299980163574219,-0.005200094880527084,-0.005213662429376805
2021-04-19,62.97999954223633,63.630001068115234,62.630001068115234,63.380001068115234,74384,63.380001068115234,2021,4,segunda,2,61.45746196953052,1.0352887885196682,0.8872503100650491,0.25,0.003960082302711498,0.0039522618165029255
2021-04-20,63.470001220703125,64.25,61.5,62.439998626708984,476046,62.439998626708984,2021,4,terça,2,61.59198439969015,-4.5919385426067185,5.439952769625549,-0.94000244140625,-0.014831215297645972,-0.01494229746187343
2021-04-21,62.38999938964844,62.560001373291016,60.86000061035156,61.349998474121094,431486,61.349998474121094,2021,4,quarta,2,61.726506829849775,-0.3139155401123956,-0.06259281561628427,-1.0900001525878906,-0.01745676131584084,-0.01761092736824245
2021-04-22,61.11000061035156,61.869998931884766,60.61000061035156,61.43000030517578,344700,61.43000030517578,2021,4,quinta,2,61.8610292600094,0.08683468309060062,-0.5178636379242221,0.0800018310546875,0.0013040233585079886,0.0013031738584799437
2021-04-23,61.650001525878906,62.43000030517578,61.25,62.13999938964844,345407,62.13999938964844,2021,4,sexta,2,61.99555169016903,0.17122061796352026,-0.026772918484113,0.70999908447265625,0.011557855786187288,0.011491573999002191
2021-04-26,62.060001373291016,62.310001373291016,60.65999984741211,61.90999984741211,366865,61.90999984741211,2021,4,segunda,2,62.13007412032866,-0.6507569344072162,0.43068266149067114,-0.22999954223632812,-0.00370131227060555,-0.0037081790762324026
2021-04-27,61.970001220703125,63.29999923706055,61.90999984741211,62.939998626708984,361536,62.939998626708984,2021,4,terça,2,62.264596550488285,-0.9015218373204282,1.5769239135411297,1.029998779296875,0.016637034111379068,0.016500154750742322
2021-04-28,63.040000915527344,64.529998779296875,62.66999816894531,63.86000061035156,387683,63.86000061035156,2021,4,quarta,2,62.39911898064791,-0.38865023788101966,1.8495318675846733,0.9200019836425781,0.014617127481985293,0.014511327027076103
2021-04-29,63.70000076293945,65.470001220703125,63.650001525878906,65.01000213623047,384489,65.01000213623047,2021,4,quinta,2,62.53364141080754,-0.373798254513683,2.850158979936616,1.1500015258789062,0.01800816653441273,0.01784794023211919
2021-04-30,64.87999725341797,64.94999694824219,63.08000183105469,63.58000183105469,400515,63.58000183105469,2021,4,sexta,2,62.66816384096717,-0.5380378113962663,1.4498758014837847,-1.4300003051757812,-0.02199661987672563,-0.02224215279452497
2021-05-03,63.63999938964844,64.68000030517578,62.90999984741211,64.48999786376953,285969,64.48999786376953,2021,5,segunda,2,62.802686271126795,-0.7095508688947411,2.3968624615374736,0.90999603271484375,0.014312614131922974,0.014211155615416915
2021-05-04,64.529998779296875,66.19000244140625,64.29000091552734,65.69000244140625,370208,65.69000244140625,2021,5,terça,2,62.93720870128642,-0.6937900339038743,3.4465837740237077,1.2000045776367188,0.01860760765059477,0.01843660417265264
2021-05-05,66.44999694824219,66.76000213623047,64.91999816894531,65.62999725341797,460066,65.62999725341797,2021,5,quarta,2,63.07173113144605,0.7563924438306661,1.8018736781412557,-0.06000518798828125,-9.134599750061367e-4,-9.138774338097392e-4
2021-05-06,65.2699966430664,65.9800033569336,64.5,64.70999908447266,389214,64.70999908447266,2021,5,quinta,2,63.20625356160568,0.6683965643541805,0.835348958512796,-0.9199981689453125,-0.014017952269492095,-0.014117131715124444
2021-05-07,64.9000015258789,65.23999786376953,63.900001525878906,64.9000015258789,431417,64.9000015258789,2021,5,sexta,2,63.340775991765305,1.0413078406948972,0.5179176934187026,0.19000244140625,0.0029362145587148447,0.0029319123002593084
