data,abertura,maxima,minima,fechamento,volume,ajustado,ano,mes,dia_semana,trimestre,tendencia,sazonalidade,residuos_stl,dif_1,retorno_simples,log_retorno,log_retorno_tratado
2020-01-30,53.09000015258789,53.20000076293945,51.65999984741211,52.13999938964844,720123,52.13999938964844,2020,1,quinta,1,45.77920852778663,-1.1975698981776708,7.558360760039477,-1.19000244140625,-0.02231393963150585,-0.02256666214758982,-0.02256666214758982
2020-01-31,52.91999816894531,53.36000061035156,50.970001220703125,51.560001373291016,827907,51.560001373291016,2020,1,sexta,1,45.68659008086162,-1.2430169956502304,7.116428288079625,-0.5799980163574219,-0.01112385928551762,-0.01118619209354139,-0.01118619209354139
2020-02-03,51.0099983215332,51.970001220703125,49.79999923706055,50.11000061035156,876044,50.11000061035156,2020,2,segunda,1,45.59397163393661,-1.4701311031122095,5.98616007952716,-1.4500007629394531,-0.02812258968810999,-0.02852560355393241,-0.02852560355393241
2020-02-04,49.939998626708984,51.54999923706055,49.310001373291016,49.61000061035156,859357,49.61000061035156,2020,2,terça,1,45.5013531870116,-1.446411063438773,5.555058486778734,-0.5,-0.00997804817221881,-0.01002816253591592,-0.01002816253591592
2020-02-05,49.5099983215332,51.880001068115234,49.470001220703125,50.75,887946,50.75,2020,2,quarta,1,45.40873474008659,-0.923681701784434,6.264946961697845,1.1399993896484375,0.0229792254711354,0.02271917930594457,0.02271917930594457
2020-02-06,51.16999816894531,52.20000076293945,50.2400016784668,50.95000076293945,750659,50.95000076293945,2020,2,quinta,1,45.31611629316158,-0.24928553994902183,5.883170009726896,0.20000076293945312,0.00394090173279715,0.00393315672111482,0.00393315672111482
2020-02-07,51.11000061035156,51.47999954223633,50.09000015258789,50.31999969482422,768345,50.31999969482422,2020,2,sexta,1,45.22349784623657,0.254276875294181,4.842224973293469,-0.6300010681152344,-0.01236508456685814,-0.01244216831552793,-0.01244216831552793
2020-02-10,50.119998931884766,50.4900016784668,49.41999816894531,49.56999969482422,715894,49.56999969482422,2020,2,segunda,1,45.13087939931156,-0.9054926949362454,5.344612990448901,-0.75,-0.01490461058323777,-0.01501680045146219,-0.01501680045146219
2020-02-11,49.61000061035156,50.689998626708984,49.58000183105469,49.939998626708984,725733,49.939998626708984,2020,2,terça,1,45.038260952386544,-0.5692410324507076,5.4709787067731455,0.3699989318847656,0.00746417054998294,0.00743645147678666,0.00743645147678666
2020-02-12,49.959999084472656,51.72999954223633,49.95000076293945,51.16999816894531,795256,51.16999816894531,2020,2,quarta,1,44.945642505461535,-0.6904910992945968,6.9148467627783745,1.229999542236328,0.02462954697757036,0.024331129680438,0.024331129680438
2020-02-13,51.720001220703125,51.959999084472656,50.599998474121094,51.41999816894531,745400,51.41999816894531,2020,2,quinta,1,44.853024058536526,0.15909372486289786,6.407880385545887,0.25,0.0048856753751405,0.0048737791947208,0.0048737791947208
2020-02-14,51.5099983215332,52.34000015258789,51.31999969482422,52.04999923706055,607343,52.04999923706055,2020,2,sexta,1,44.76040561161152,0.33367788144836985,6.955915744000663,0.6300010681152344,0.01225206321566374,0.01217761417519255,0.01217761417519255
2020-02-18,52.22999954223633,52.40999984741211,50.880001068115234,52.04999923706055,221774,52.04999923706055,2020,2,terça,1,44.6677871646865,0.1128392410764946,7.269372831297552,0,0,0,0
2020-02-19,52.119998931884766,53.65999984741211,51.93000030517578,53.290000915527344,113683,53.290000915527344,2020,2,quarta,1,44.57516871776149,0.4736683418443467,8.241163855921506,1.2400016784667969,0.02382327947439999,0.02354393308562804,0.02354393308562804
2020-02-20,53.5,54.5,53.220001220703125,53.779998779296875,676179,53.779998779296875,2020,2,quinta,1,44.48255027083648,0.4804565584313414,8.816991950029049,0.4899978637695313,0.00919493066900578,0.00915291465384392,0.00915291465384392
2020-02-21,53.7400016784668,53.86000061035156,52.54999923706055,53.380001068115234,707555,53.380001068115234,2020,2,sexta,1,44.38993182391147,0.2772448958170832,8.712824348386683,-0.3999977111816406,-0.0074376667954783,-0.00746546415660115,-0.00746546415660115
2020-02-24,52.599998474121094,52.63999938964844,50.45000076293945,51.43000030517578,765515,51.43000030517578,2020,2,segunda,1,44.29731337698646,0.3623671260250914,6.770319802164231,-1.9500007629394531,-0.03653054934283661,-0.0372144982653966,-0.0372144982653966
2020-02-25,51.369998931884766,52.02000045776367,49.689998626708984,49.900001525878906,764989,49.900001525878906,2020,2,terça,1,44.20469493006145,0.5541556032830666,5.141150992534392,-1.529998779296875,-0.02974914972230513,-0.03020063238442536,-0.03020063238442536
2020-02-26,50.08000183105469,50.439998626708984,48.29999923706055,48.72999954223633,884482,48.72999954223633,2020,2,quarta,1,44.12486744532523,0.98822874223039,3.6169033546807015,-1.170001983642578,-0.02344693282295384,-0.02372618587467126,-0.02372618587467126
2020-02-27,48.630001068115234,48.779998779296875,45.880001068115234,47.09000015258789,1011915,47.09000015258789,2020,2,quinta,1,44.04503996058902,0.9056349919870388,2.1393252000118324,-1.6399993896484375,-0.03365482054287694,-0.03423417996572771,-0.03423417996572771
2020-02-28,46.4900016784668,47.029998779296875,43.849998474121094,44.7599983215332,1101659,44.7599983215332,2020,2,sexta,1,43.96521247585281,1.1438747658118869,-0.34908892013149284,-2.3300018310546875,-0.04947975840952801,-0.05074582155134353,-0.05074582155134353
2020-03-02,43.70000076293945,47.560001373291016,43.31999969482422,46.75,949471,46.75,2020,3,segunda,1,43.885384991116595,2.165447205398046,0.6991678034853592,1.9900016784667969,0.0444593778617155,0.0434994097902304,0.0434994097902304
2020-03-03,47.720001220703125,48.65999984741211,46.470001220703125,47.18000030517578,1011933,47.18000030517578,2020,3,terça,1,43.80555750638038,1.1837689351909484,2.1906738636044523,0.4300003051757813,0.00919786749039097,0.00915582471316228,0.00915582471316228
2020-03-04,46.939998626708984,48.40999984741211,46.650001525878906,46.779998779296875,745856,46.779998779296875,2020,3,quarta,1,43.72573002164417,1.4739693735858128,1.5802993840668975,-0.40000152587890625,-0.00847820100236462,-0.00851434538637731,-0.00851434538637731
2020-03-05,47.130001068115234,47.56999969482422,45.650001525878906,45.900001525878906,704591,45.900001525878906,2020,3,quinta,1,43.645902536907954,2.150934018586596,0.10316497038435556,-0.87999725341796875,-0.01881139966612022,-0.01899058475143294,-0.01899058475143294
2020-03-06,46.09000015258789,46.380001068115234,41.04999923706055,41.279998779296875,1276180,41.279998779296875,2020,3,sexta,1,43.56607505217174,1.963353014839155,-4.2494292877140225,-4.620002746582031,-0.10065365126354577,-0.1060870587080379,-0.08500468106872804
2020-03-09,32.869998931884766,34.880001068115234,27.34000015258789,31.1299991607666,1774383,31.1299991607666,2020,3,segunda,1,43.48624756743553,1.263952518404835,-13.62020092507376,-10.149999618530272,-0.2458817809757493,-0.2822061341074851,-0.08500468106872804
2020-03-10,30.3700008392334,35.02000045776367,30.200000762939453,34.36000061035156,1064632,34.36000061035156,2020,3,terça,1,43.40642008269931,-0.0545383183837101,-8.991881153964037,3.230001449584961,0.103758481743095,0.09872115738496252,0.08574012137614621
2020-03-11,34.619998931884766,36.349998474121094,32.560001373291016,32.97999954223633,874646,32.97999954223633,2020,3,quarta,1,43.3265925979631,-0.03142924284329507,-10.315163812883476,-1.3800010681152344,-0.04016301058212102,-0.04099181162807341,-0.04099181162807341
2020-03-12,33.06999969482422,33.630001068115234,30.020000457763672,31.5,1025036,31.5,2020,3,quinta,1,43.246765113226886,-0.14104666321907278,-11.605718450007814,-1.479999542236328,-0.04487566897449302,-0.04591375741982682,-0.04591375741982682
2020-03-13,30.770000457763672,33.869998931884766,30.329999923706055,31.729999542236328,743129,31.729999542236328,2020,3,sexta,1,43.16693762849067,-1.163392479923861,-10.27354560633048,0.22999954223632812,0.00730157276940723,0.00727504533667549,0.00727504533667549
2020-03-16,33.75,33.75,28.100000381469727,28.700000762939453,698829,28.700000762939453,2020,3,segunda,1,43.08711014375446,-1.9457380053245004,-12.441371375490505,-3.029998779296875,-0.09549318698424791,-0.10036544181943158,-0.08500468106872804
2020-03-17,28.690000534057617,30.299999237060547,26.6299991607666,26.950000762939453,545820,26.950000762939453,2020,3,terça,1,43.00728265901824,-2.094745221935179,-13.962536674143614,-1.75,-0.06097560813516733,-0.06291382368438383,-0.06291382368438383
2020-03-18,26.940000534057617,27.219999313354492,20.059999465942383,20.3700008392334,309481,20.3700008392334,2020,3,quarta,1,42.92745517428203,-2.701024187868929,-19.856430147179704,-6.579999923706055,-0.2441558344129846,-0.27992005422625427,-0.08500468106872804
2020-03-19,22.299999237060547,27.709999084472656,21.36000061035156,25.219999313354492,136722,25.219999313354492,2020,3,quinta,1,42.84762768954582,-1.9154853673258485,-15.712143008865477,4.849998474121094,0.23809515337769716,0.21357403187235055,0.08574012137614621
